query,lon,lat,place_name,relevance,feature_id
mkukula,34.701808,-15.300392,"Malawi, Neno, Malawi",0.5,place.6260894
mkulula,33.739164,-13.215804,Malawi,0.5,country.8862
mkuzi,34.701808,-15.300392,"Malawi, Neno, Malawi",0.5,place.6260894
mlapo,34.701808,-15.300392,"Malawi, Neno, Malawi",0.5,place.6260894
mlemba,34.7691,-15.515453,"Mbemba, Neno, Malawi",0.958333,place.6965406
mlembe,33.739164,-13.215804,Malawi,0.5,country.8862
mlenga,35.351576,-15.485979,"Mlenga, Zomba, Malawi",1,place.7530654
mlolo,35.213172,-16.477979,"Mlolo, Nsanje, Malawi",1,place.7579806
mlonyeni,33.028115,-13.859791,"Mlonyeni, Mchinji, Malawi",1,place.7604382
mmanga,33.475734,-14.071312,"Mkanga, Lilongwe, Malawi",0.958333,place.7391390
mndolo,33.739164,-13.215804,Malawi,0.5,country.8862
mnungu,33.443339,-13.949939,"Mzungu, Lilongwe, Malawi",0.958333,place.8857758
mnunguzi,34.701808,-15.300392,"Malawi, Neno, Malawi",0.5,place.6260894
molongo,33.739164,-13.215804,Malawi,0.5,country.8862
mongo,33.739164,-13.215804,Malawi,0.5,country.8862
moyale,33.739164,-13.215804,Malawi,0.5,country.8862
mozambiq,34.701808,-15.300392,"Malawi, Neno, Malawi",0.5,place.6260894
mozambique,34.701808,-15.300392,"Malawi, Neno, Malawi",0.5,place.6260894
mpande,33.739164,-13.215804,Malawi,0.5,country.8862
mpando,33.378233,-14.046481,"Mphando, Lilongwe, Malawi",0.958333,place.7825566
mphalabungu,33.739164,-13.215804,Malawi,0.5,country.8862
mphande,35.201466,-16.33919,"Mphande, Thyolo, Malawi",1,place.7817374
